time,elapsed_s,hr_bpm,hr_conf,spo2_pct,spo2_conf,spo2_level,spo2_r,spo2_flags,hrv_rmssd_ms,hrv_conf,hrv_rri_in_window,resp_rpm,resp_windows,wear,motion,motion_mg,acc_g,ppg_green_raw,agc,rhr,lost_frames
2026-09-20 11:01:15,1.0,49,84,,0,0,,0,,0,0,,0,未知,unknown,0.0,0.119 0.451 -0.881,13176687 13519950 15125344 15491128,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
2026-09-20 11:01:16,2.0,48,87,95,4,5,0.6788,57,,30,0,,0,未知,unknown,0.0,0.137 0.492 -0.852,13176610 13520428 15122554 15491131,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
2026-09-20 11:01:17,3.1,47,91,95,5,5,0.6523,56,,30,0,,0,未知,still,1.4,0.117 0.449 -0.885,13177463 13521170 15126188 15490165,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
2026-09-20 11:01:18,4.1,46,89,95,5,2,0.7219,56,,30,0,,0,未知,still,1.0,0.137 0.492 -0.852,13178418 13521597 15125378 15487614,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
2026-09-20 11:01:19,5.1,46,88,95,5,2,0.7219,56,,30,0,,0,未知,still,1.7,0.119 0.449 -0.883,13178179 13522033 15126896 15487554,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
2026-09-20 11:01:20,6.2,46,88,95,21,5,0.6764,48,,30,0,,0,未知,still,1.2,0.117 0.449 -0.881,13178931 13522417 15127450 15487878,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
2026-09-20 11:01:21,7.2,45,96,96,21,2,0.6898,56,,30,0,,0,未知,still,1.2,0.119 0.449 -0.883,13178726 13522706 15127221 15487444,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
2026-09-20 11:01:22,8.2,45,98,95,0,5,0.6838,56,,30,0,,0,未知,still,1.0,0.119 0.449 -0.883,13178400 13523208 15126009 15487444,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
2026-09-20 11:01:23,9.2,45,95,95,0,5,0.6838,56,,30,0,,0,未知,still,1.0,0.117 0.451 -0.883,13178429 13523388 15126034 15486805,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
2026-09-20 11:01:24,10.3,46,92,96,0,2,0.7076,56,,30,0,,0,未知,still,0.8,0.117 0.449 -0.883,13181506 13522613 15125011 15480927,g2/12mA/12mA g2/12mA/12mA g8/12mA/12mA g3/12mA/12mA,,0
