t,func,frame_id,raw0,raw1,raw2,raw3,gsx,gsy,gsz,agc,res0,res1,res2,res3,res4,res5
0.001,HRV,18,8921043,9172947,9430332,9813266,-217,210,-421,g4/33mA/33mA g4/33mA/33mA g4/33mA/33mA g4/33mA/33mA,,,,,,
0.002,HR,19,11758009,13325924,11018955,11997156,-130,221,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.002,HR,20,11763536,13328986,11023025,11997541,-122,225,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.002,HR,21,11767051,13334303,11025335,11998283,-120,225,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.002,HR,22,11769686,13338430,11028127,12000441,-123,223,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.002,HR,23,11775847,13344640,11032510,12003367,-128,225,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.003,HR,24,11785991,13351484,11039917,12006141,-125,224,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.003,HR,25,11802397,13360508,11050759,12008646,-117,222,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.003,HR,26,11809315,13375397,11053037,12010098,-122,222,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,67,94,0,1,0,0
0.003,HR,27,11815320,13390070,11054180,12020081,-119,228,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.003,HR,28,11831445,13400982,11060980,12029010,-113,237,-441,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,29,11844362,13412576,11067455,12038619,-105,240,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,30,11856850,13422916,11074375,12046801,-118,229,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,31,11872948,13434108,11081326,12052422,-135,217,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,32,11888784,13441702,11088978,12055150,-122,223,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,33,11901785,13449627,11096178,12057846,-118,226,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,34,11911170,13456761,11101118,12063606,-118,227,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,35,11915111,13465196,11105223,12067497,-120,223,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,36,11914327,13479735,11104368,12074509,-125,229,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,37,11918976,13488795,11107440,12081854,-125,231,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,38,11926731,13495849,11113081,12088422,-111,216,-455,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,39,11932488,13496813,11117132,12092247,-122,214,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,40,11925954,13489025,11110759,12083286,-130,216,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,41,11921963,13480681,11106639,12068939,-118,219,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,42,11922927,13479768,11105179,12060099,-119,222,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,43,11920545,13479400,11104813,12058342,-122,224,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,44,11911349,13483821,11102791,12056841,-123,221,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,45,11906931,13489236,11102067,12060568,-122,221,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,46,11910479,13493035,11105272,12061516,-124,220,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,47,11916621,13494996,11108483,12062079,-132,216,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,48,11921937,13498894,11111142,12066131,-120,225,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,49,11932763,13502238,11116135,12068785,-112,227,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,50,11940501,13506120,11118608,12071062,-112,220,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,51,11942256,13510310,11119017,12075763,-128,210,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,67,94,0,1,0,0
0.179,HR,52,11936073,13518143,11116903,12077512,-148,203,-450,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,19,11758009,13325924,11018955,11997156,-130,221,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,20,11763536,13328986,11023025,11997541,-122,225,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,21,11767051,13334303,11025335,11998283,-120,225,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,22,11769686,13338430,11028127,12000441,-123,223,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,23,11775847,13344640,11032510,12003367,-128,225,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.295,HRV,24,11785991,13351484,11039917,12006141,-125,224,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.295,HRV,25,11802397,13360508,11050759,12008646,-117,222,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.295,HRV,26,11809315,13375397,11053037,12010098,-122,222,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,858,0,0,0,20,1
0.295,HRV,27,11815320,13390070,11054180,12020081,-119,228,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.295,HRV,28,11831445,13400982,11060980,12029010,-113,237,-441,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,29,11844362,13412576,11067455,12038619,-105,240,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,30,11856850,13422916,11074375,12046801,-118,229,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,31,11872948,13434108,11081326,12052422,-135,217,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,32,11888784,13441702,11088978,12055150,-122,223,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,33,11901785,13449627,11096178,12057846,-118,226,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,34,11911170,13456761,11101118,12063606,-118,227,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,35,11915111,13465196,11105223,12067497,-120,223,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,36,11914327,13479735,11104368,12074509,-125,229,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,37,11918976,13488795,11107440,12081854,-125,231,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,38,11926731,13495849,11113081,12088422,-111,216,-455,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,39,11932488,13496813,11117132,12092247,-122,214,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.315,HRV,40,11925954,13489025,11110759,12083286,-130,216,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.315,HRV,41,11921963,13480681,11106639,12068939,-118,219,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.315,HRV,42,11922927,13479768,11105179,12060099,-119,222,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.316,HRV,43,11920545,13479400,11104813,12058342,-122,224,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.316,HRV,44,11911349,13483821,11102791,12056841,-123,221,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
