t,func,frame_id,ch,rawdata,agc,hr_bpm,hr_conf,spo2_pct,spo2_conf
1.319,HR,0,0,10551595,g5/25mA/0mA,,,,
1.319,HR,0,1,10023921,g5/25mA/0mA,,,,
1.319,HR,0,2,10578069,g5/25mA/0mA,,,,
1.319,HR,0,3,13427063,g5/25mA/0mA,,,,
1.319,HR,1,0,10550709,g5/25mA/0mA,,,,
1.319,HR,1,1,10022821,g5/25mA/0mA,,,,
1.319,HR,1,2,10578273,g5/25mA/0mA,,,,
1.319,HR,1,3,13429759,g5/25mA/0mA,,,,
1.319,HR,2,0,10551570,g5/25mA/0mA,,,,
1.319,HR,2,1,10022128,g5/25mA/0mA,,,,
1.319,HR,2,2,10577267,g5/25mA/0mA,,,,
1.319,HR,2,3,13426917,g5/25mA/0mA,,,,
1.319,HR,3,0,10553669,g5/25mA/0mA,,,,
1.319,HR,3,1,10021592,g5/25mA/0mA,,,,
1.319,HR,3,2,10576224,g5/25mA/0mA,,,,
1.319,HR,3,3,13423463,g5/25mA/0mA,,,,
1.319,HR,4,0,10553788,g5/25mA/0mA,,,,
1.319,HR,4,1,10022701,g5/25mA/0mA,,,,
1.319,HR,4,2,10577259,g5/25mA/0mA,,,,
1.319,HR,4,3,13425764,g5/25mA/0mA,,,,
1.319,HR,5,0,10553703,g5/25mA/0mA,,,,
1.319,HR,5,1,10023811,g5/25mA/0mA,,,,
1.319,HR,5,2,10579263,g5/25mA/0mA,,,,
1.319,HR,5,3,13432598,g5/25mA/0mA,,,,
1.322,HR,6,0,10554444,g5/25mA/0mA,,,,
1.322,HR,6,1,10023649,g5/25mA/0mA,,,,
1.322,HR,6,2,10580491,g5/25mA/0mA,,,,
1.322,HR,6,3,13437871,g5/25mA/0mA,,,,
1.322,HR,7,0,10557781,g5/25mA/0mA,,,,
1.322,HR,7,1,10023792,g5/25mA/0mA,,,,
1.322,HR,7,2,10580175,g5/25mA/0mA,,,,
1.322,HR,7,3,13435388,g5/25mA/0mA,,,,
1.322,HR,8,0,10559683,g5/25mA/0mA,,,,
1.322,HR,8,1,10024518,g5/25mA/0mA,,,,
1.322,HR,8,2,10579579,g5/25mA/0mA,,,,
1.322,HR,8,3,13432497,g5/25mA/0mA,,,,
1.322,HR,9,0,10560229,g5/25mA/0mA,,,,
1.322,HR,9,1,10026036,g5/25mA/0mA,,,,
1.322,HR,9,2,10580765,g5/25mA/0mA,,,,
1.322,HR,9,3,13436036,g5/25mA/0mA,,,,
1.322,HR,10,0,10560239,g5/25mA/0mA,,,,
1.322,HR,10,1,10027053,g5/25mA/0mA,,,,
1.322,HR,10,2,10583058,g5/25mA/0mA,,,,
1.322,HR,10,3,13442392,g5/25mA/0mA,,,,
1.322,HR,11,0,10560655,g5/25mA/0mA,,,,
1.322,HR,11,1,10027682,g5/25mA/0mA,,,,
1.322,HR,11,2,10584432,g5/25mA/0mA,,,,
1.322,HR,11,3,13447912,g5/25mA/0mA,,,,
1.322,HR,12,0,10563668,g5/25mA/0mA,,,,
1.322,HR,12,1,10027844,g5/25mA/0mA,,,,
1.322,HR,12,2,10584244,g5/25mA/0mA,,,,
1.322,HR,12,3,13445217,g5/25mA/0mA,,,,
1.322,HR,13,0,10565851,g5/25mA/0mA,,,,
1.322,HR,13,1,10028639,g5/25mA/0mA,,,,
1.322,HR,13,2,10583894,g5/25mA/0mA,,,,
1.322,HR,13,3,13442128,g5/25mA/0mA,,,,
1.322,HR,14,0,10566610,g5/25mA/0mA,,,,
1.322,HR,14,1,10030686,g5/25mA/0mA,,,,
1.322,HR,14,2,10585439,g5/25mA/0mA,,,,
1.322,HR,14,3,13446180,g5/25mA/0mA,,,,
1.322,HR,15,0,10566380,g5/25mA/0mA,,,,
1.322,HR,15,1,10032291,g5/25mA/0mA,,,,
1.322,HR,15,2,10587889,g5/25mA/0mA,,,,
1.322,HR,15,3,13452707,g5/25mA/0mA,,,,
1.322,HR,16,0,10567864,g5/25mA/0mA,,,,
1.322,HR,16,1,10032870,g5/25mA/0mA,,,,
1.322,HR,16,2,10589602,g5/25mA/0mA,,,,
1.322,HR,16,3,13457485,g5/25mA/0mA,,,,
1.322,HR,17,0,10570835,g5/25mA/0mA,,,,
1.322,HR,17,1,10033869,g5/25mA/0mA,,,,
1.322,HR,17,2,10589577,g5/25mA/0mA,,,,
1.322,HR,17,3,13456401,g5/25mA/0mA,,,,
1.322,HR,18,0,10569357,g5/25mA/0mA,,,,
1.322,HR,18,1,10032905,g5/25mA/0mA,,,,
1.322,HR,18,2,10587393,g5/25mA/0mA,,,,
1.322,HR,18,3,13449023,g5/25mA/0mA,,,,
1.322,HR,19,0,10559675,g5/25mA/0mA,,,,
1.322,HR,19,1,10028544,g5/25mA/0mA,,,,
1.322,HR,19,2,10584568,g5/25mA/0mA,,,,
1.322,HR,19,3,13442087,g5/25mA/0mA,,,,
1.352,HR,20,0,10550154,g5/25mA/0mA,,,,
1.352,HR,20,1,10024987,g5/25mA/0mA,,,,
1.352,HR,20,2,10582504,g5/25mA/0mA,,,,
1.352,HR,20,3,13437112,g5/25mA/0mA,,,,
1.352,HR,21,0,10545512,g5/25mA/0mA,,,,
