t,func,frame_id,ch,rawdata,agc,hr_bpm,hr_conf,spo2_pct,spo2_conf
0.963,HR,145,0,15141775,g5/13mA/13mA,80,96,,
0.963,HR,145,1,14743127,g4/13mA/13mA,80,96,,
0.963,HR,145,2,12553444,g4/13mA/13mA,80,96,,
0.963,HR,145,3,13989186,g4/13mA/13mA,80,96,,
0.963,HR,146,0,15140667,g5/13mA/13mA,80,96,,
0.963,HR,146,1,14742700,g4/13mA/13mA,80,96,,
0.963,HR,146,2,12553240,g4/13mA/13mA,80,96,,
0.963,HR,146,3,13989015,g4/13mA/13mA,80,96,,
0.963,HR,147,0,15141586,g5/13mA/13mA,80,96,,
0.963,HR,147,1,14742863,g4/13mA/13mA,80,96,,
0.963,HR,147,2,12553640,g4/13mA/13mA,80,96,,
0.963,HR,147,3,13988845,g4/13mA/13mA,80,96,,
0.963,HR,148,0,15140821,g5/13mA/13mA,80,96,,
0.963,HR,148,1,14742591,g4/13mA/13mA,80,96,,
0.963,HR,148,2,12553240,g4/13mA/13mA,80,96,,
0.963,HR,148,3,13988818,g4/13mA/13mA,80,96,,
0.963,HR,149,0,15141289,g5/13mA/13mA,80,96,,
0.963,HR,149,1,14742427,g4/13mA/13mA,80,96,,
0.963,HR,149,2,12552985,g4/13mA/13mA,80,96,,
0.963,HR,149,3,13988486,g4/13mA/13mA,80,96,,
0.995,HR,150,0,15142014,g5/13mA/13mA,80,96,,
0.995,HR,150,1,14743025,g4/13mA/13mA,80,96,,
0.995,HR,150,2,12553462,g4/13mA/13mA,80,96,,
0.995,HR,150,3,13989025,g4/13mA/13mA,80,96,,
0.995,HR,151,0,15141093,g5/13mA/13mA,80,96,,
0.995,HR,151,1,14742930,g4/13mA/13mA,80,96,,
0.995,HR,151,2,12553497,g4/13mA/13mA,80,96,,
0.995,HR,151,3,13988955,g4/13mA/13mA,80,96,,
0.995,HR,152,0,15140913,g5/13mA/13mA,80,96,,
0.995,HR,152,1,14742453,g4/13mA/13mA,80,96,,
0.995,HR,152,2,12553282,g4/13mA/13mA,80,96,,
0.995,HR,152,3,13988648,g4/13mA/13mA,80,96,,
0.995,HR,153,0,15141307,g5/13mA/13mA,80,96,,
0.995,HR,153,1,14742495,g4/13mA/13mA,80,96,,
0.995,HR,153,2,12553214,g4/13mA/13mA,80,96,,
0.995,HR,153,3,13988656,g4/13mA/13mA,80,96,,
0.995,HR,154,0,15142125,g5/13mA/13mA,80,96,,
0.995,HR,154,1,14743137,g4/13mA/13mA,80,96,,
0.995,HR,154,2,12553719,g4/13mA/13mA,80,96,,
0.995,HR,154,3,13989007,g4/13mA/13mA,80,96,,
0.995,HR,155,0,15140622,g5/13mA/13mA,80,96,,
0.995,HR,155,1,14742726,g4/13mA/13mA,80,96,,
0.995,HR,155,2,12553009,g4/13mA/13mA,80,96,,
0.995,HR,155,3,13988332,g4/13mA/13mA,80,96,,
1.024,HR,156,0,15141928,g5/13mA/13mA,80,96,,
1.024,HR,156,1,14742998,g4/13mA/13mA,80,96,,
1.024,HR,156,2,12553777,g4/13mA/13mA,80,96,,
1.024,HR,156,3,13989416,g4/13mA/13mA,80,96,,
1.024,HR,157,0,15141178,g5/13mA/13mA,80,96,,
1.024,HR,157,1,14742759,g4/13mA/13mA,80,96,,
1.024,HR,157,2,12553332,g4/13mA/13mA,80,96,,
1.024,HR,157,3,13988854,g4/13mA/13mA,80,96,,
1.024,HR,158,0,15141442,g5/13mA/13mA,80,96,,
1.024,HR,158,1,14742983,g4/13mA/13mA,80,96,,
1.024,HR,158,2,12553513,g4/13mA/13mA,80,96,,
1.024,HR,158,3,13988981,g4/13mA/13mA,80,96,,
